ID,HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
2541d555-845a-42aa-bce0-317a0e45f420,367,92,147.6,373,134,129.6,333,152,126,407,146,126,367,194,133.2,367,206,133.2,349,224,126,381,222,129.6,291,160,115.2,291,112,115.2,293,100,115.2,449,158,122.4,457,194,126,457,208,126,341,318,111.6,333,382,97.200005,331,398,104.399994,385,320,115.2,391,384,104.399994,391,402,111.6
d89d4361-06a5-4e26-8df6-e20cd589cb4b,351,102,118.8,357,144,108.00001,319,158,108.00001,391,156,104.399994,353,200,115.2,353,210,115.2,337,224,115.2,367,226,115.2,281,160,100.8,275,116,100.8,275,106,108.00001,433,156,104.399994,437,116,111.6,437,108,115.2,327,312,97.200005,321,370,90,321,382,90,375,314,100.8,385,376,86.4,389,392,90
7ca9b8b8-6fca-403c-b595-f634ad9605e2,375,108,115.2,373,134,100.8,339,142,93.6,401,152,100.8,367,188,100.8,367,198,100.8,353,212,93.6,377,212,100.8,299,148,82.8,297,182,90,297,194,86.4,441,160,93.6,441,112,108.00001,441,102,104.399994,349,304,79.2,345,370,61.2,341,382,68.4,389,308,90,399,376,75.6,405,388,79.2
e06622fb-52a6-4378-b05e-37df8755c446,321,108,108.00001,321,140,93.6,285,156,90,353,154,93.6,321,196,104.399994,321,208,104.399994,305,224,97.200005,335,222,97.200005,243,164,90,199,164,90,187,164,93.6,395,160,100.8,445,156,104.399994,455,154,104.399994,289,314,86.4,275,372,68.4,269,384,72,355,312,90,371,376,82.8,383,390,82.8
c3623337-d7c0-4921-9b38-fc361a623ead,333,150,126,335,184,115.2,299,200,108.00001,367,198,115.2,335,240,108.00001,337,250,104.399994,323,264,104.399994,351,264,100.8,263,206,100.8,249,174,115.2,253,152,118.8,409,198,115.2,411,148,118.8,407,136,118.8,283,322,97.200005,279,380,86.4,277,392,79.2,393,322,111.6,399,378,97.200005,395,390,90
a999846b-8f83-4880-8f92-84be46190c09,295,122,111.6,309,152,100.8,295,170,90,345,136,104.399994,335,204,104.399994,341,214,100.8,337,228,90,359,220,97.200005,277,202,18,257,156,97.200005,257,154,97.200005,359,98,122.4,319,92,126,309,88,126,305,302,86.4,311,370,75.6,307,382,68.4,373,312,90,377,374,75.6,373,386,75.6
37f46031-9e19-4ac5-afe0-5d99974faf8e,327,118,100.8,329,152,90,299,162,93.6,357,158,93.6,331,212,104.399994,331,222,100.8,319,234,100.8,345,234,97.200005,273,130,104.399994,293,92,115.2,303,82,111.6,381,120,108.00001,355,88,115.2,343,80,111.6,311,326,90,303,390,75.6,295,408,86.4,355,324,90,363,390,75.6,369,404,79.2
3a27e329-2970-4e02-95a4-f7703a1e95ed,337,178,115.2,335,210,100.8,305,222,100.8,367,216,97.200005,337,254,90,337,262,90,325,276,90,351,276,86.4,267,236,86.4,271,272,90,275,284,25.2,411,190,104.399994,437,158,115.2,445,142,122.4,291,332,90,283,386,79.2,283,398,72,387,332,90,389,392,72,399,402,75.6
5dc26ff1-a52f-4fa3-8f4c-22cbc3c727fb,339,120,118.8,331,150,108.00001,299,160,115.2,361,164,100.8,331,206,115.2,331,216,111.6,317,232,115.2,343,230,104.399994,257,174,115.2,261,210,115.2,261,224,108.00001,403,152,100.8,409,112,104.399994,413,100,104.399994,337,322,93.6,335,392,79.2,339,406,82.8,413,258,104.399994,413,322,93.6,421,332,90
bebd8f42-25a6-47f5-975d-d02ed687d485,359,126,122.4,379,152,115.2,351,166,97.200005,403,162,122.4,383,212,115.2,385,224,115.2,375,236,108.00001,397,236,115.2,317,160,90,309,126,90,309,106,93.6,451,178,126,455,216,122.4,457,228,115.2,307,258,90,323,316,86.4,313,326,82.8,379,332,97.200005,381,394,79.2,375,406,82.8
c7bb2366-7b6e-44ac-a9f5-ed3f002b3007,351,122,108.00001,355,152,90,331,156,90,381,154,104.399994,353,200,104.399994,351,210,104.399994,339,220,100.8,363,222,104.399994,309,124,104.399994,329,90,115.2,335,80,115.2,399,116,115.2,369,88,118.8,359,78,115.2,297,290,90,319,338,86.4,315,348,14.4,355,314,90,349,392,75.6,351,404,82.8
263d1bff-7e16-42e8-a318-f014c17c7945,337,122,104.399994,337,152,90,303,148,93.6,355,148,90,335,196,100.8,337,204,100.8,329,218,100.8,345,214,97.200005,287,118,111.6,313,86,115.2,323,78,115.2,377,118,104.399994,353,82,115.2,341,72,111.6,333,314,90,331,392,75.6,329,404,82.8,391,278,90,363,326,82.8,369,334,75.6
dd2436ea-9962-46c8-8b0e-d6fcca821c4b,309,124,126,323,158,115.2,295,176,108.00001,355,146,115.2,353,212,118.8,359,224,115.2,353,242,111.6,381,234,111.6,271,210,97.200005,243,240,10.8,229,238,100.8,401,110,115.2,429,70,129.6,439,54,136.8,367,324,97.200005,375,396,82.8,359,406,90,433,292,108.00001,465,336,90,475,350,82.8
9448af1a-048f-4b48-aae2-2bc85ada230e,415,134,126,395,164,118.8,357,152,122.4,411,190,115.2,355,218,115.2,347,230,115.2,325,238,111.6,349,248,108.00001,303,138,118.8,267,102,133.2,253,90,136.8,435,222,108.00001,469,246,104.399994,483,252,104.399994,269,312,111.6,231,366,97.200005,219,382,97.200005,339,324,100.8,331,398,90,341,410,90
cb0f3e13-fcbf-4759-820e-cf506ccf844f,325,160,111.6,341,190,100.8,319,196,90,365,198,115.2,343,242,100.8,345,252,104.399994,335,266,97.200005,357,264,100.8,285,170,82.8,257,148,79.2,245,140,86.4,413,220,115.2,427,260,118.8,429,276,115.2,297,330,86.4,305,390,75.6,293,402,75.6,383,334,93.6,441,382,82.8,445,398,72
99330481-98bc-45f1-a46d-6d685db76939,335,158,108.00001,353,182,100.8,329,192,86.4,381,194,108.00001,363,234,100.8,365,246,100.8,355,260,93.6,381,258,104.399994,287,174,82.8,257,150,90,247,140,25.2,431,206,115.2,465,232,115.2,475,248,115.2,335,332,90,329,398,79.2,317,410,79.2,417,320,93.6,467,370,82.8,469,392,68.4
ee5c09f7-c5cd-4ff8-b710-4018c8d44be0,359,154,108.00001,359,184,97.200005,327,194,97.200005,391,196,90,355,236,97.200005,355,246,93.6,339,260,90,369,262,90,287,168,97.200005,291,128,111.6,297,116,115.2,435,202,93.6,473,202,90,485,204,93.6,309,326,90,307,394,72,293,404,75.6,403,328,93.6,411,394,75.6,421,406,82.8
08dc26ed-b469-46c9-b479-858c269951f0,339,118,90,343,148,82.8,311,166,86.4,377,158,79.2,353,200,90,355,212,90,343,230,90,369,224,90,277,174,86.4,269,138,90,269,116,97.200005,419,152,75.6,431,116,90,433,100,90,361,318,75.6,359,384,61.2,357,400,75.6,417,274,100.8,387,316,75.6,387,330,61.2
d68b2266-15ad-465b-92a8-77e377e8e2fb,395,116,93.6,399,146,86.4,365,158,79.2,429,158,90,393,202,90,393,214,90,379,224,86.4,405,230,90,329,156,75.6,325,120,90,329,106,90,473,150,93.6,477,104,104.399994,475,86,111.6,329,274,86.4,367,326,68.4,365,340,68.4,391,320,72,389,384,61.2,395,400,75.6
